specimen_id,assay_parameters_id,reference_source_value,reference_genome_value
S1,AD1,Homo sapiens,hg19
S2,AD2,Homo sapiens,hg19
S3,AD3,Homo sapiens,hg19
S4,AD4,Homo sapiens,hg19
S5,AD5,Homo sapiens,hg19
S6,AD6,Homo sapiens,hg19
S7,AD7,Homo sapiens,hg19
S8,AD8,Homo sapiens,hg19
S9,AD9,Homo sapiens,hg19
S10,AD10,Homo sapiens,hg19
S11,AD11,Homo sapiens,hg19
S12,AD12,Homo sapiens,hg19
S13,AD13,Homo sapiens,hg19
S14,AD14,Homo sapiens,hg19
S15,AD15,Homo sapiens,hg19
S16,AD16,Homo sapiens,hg19
S17,AD17,Homo sapiens,hg19
S18,AD18,Homo sapiens,hg19
S19,AD19,Homo sapiens,hg19
S20,AD20,Homo sapiens,hg19
S21,AD21,Homo sapiens,hg19
S32,AD32,Homo sapiens,hg19
S33,AD33,Homo sapiens,hg19
S34,AD34,Homo sapiens,hg19
S39,AD39,Homo sapiens,hg19
S46,AD46,Homo sapiens,hg19
S47,AD47,Homo sapiens,hg19
S48,AD48,Homo sapiens,hg19
S49,AD49,Homo sapiens,hg19
S50,AD50,Homo sapiens,hg19
S51,AD51,Homo sapiens,hg19
S52,AD52,Homo sapiens,hg19
S53,AD53,Homo sapiens,hg19
S54,AD54,Homo sapiens,hg19
S55,AD55,Homo sapiens,hg19
S56,AD56,Homo sapiens,hg19
S57,AD57,Homo sapiens,hg19
S58,AD58,Homo sapiens,hg19
S22,AD22,Homo sapiens,hg19
S23,AD23,Homo sapiens,hg19
S24,AD24,Homo sapiens,hg19
S25,AD25,Homo sapiens,hg19
S26,AD26,Homo sapiens,hg19
S27,AD27,Homo sapiens,hg19
S28,AD28,Homo sapiens,hg19
S29,AD29,Homo sapiens,hg19
S30,AD30,Homo sapiens,hg19
S31,AD31,Homo sapiens,hg19
S35,AD35,Homo sapiens,hg19
S36,AD36,Homo sapiens,hg19
S37,AD37,Homo sapiens,hg19
S38,AD38,Homo sapiens,hg19
S40,AD40,Homo sapiens,hg19
S41,AD41,Homo sapiens,hg19
S42,AD42,Homo sapiens,hg19
S43,AD43,Homo sapiens,hg19
S44,AD44,Homo sapiens,hg19
S45,AD45,Homo sapiens,hg19
